experiment_id,model_family,model,representation,scale,condition,status,n,mean_score,median_score,std_score,min_score,max_score
claude_iupac_0_1,claude,anthropic/claude-3-haiku,iupac,0-1,claude | iupac | 0-1,ambiguous,10,0.51,0.5,0.21317702607092642,0.2,0.8
claude_iupac_0_1,claude,anthropic/claude-3-haiku,iupac,0-1,claude | iupac | 0-1,bad,10,0.43,0.45,0.26687491868330787,0.1,0.8
claude_iupac_0_1,claude,anthropic/claude-3-haiku,iupac,0-1,claude | iupac | 0-1,good,10,0.78,0.8,0.09189365834726818,0.6,0.9
claude_iupac_0_10,claude,anthropic/claude-3-haiku,iupac,0-10,claude | iupac | 0-10,ambiguous,10,5.9,6.5,1.66332999331662,3.0,8.0
claude_iupac_0_10,claude,anthropic/claude-3-haiku,iupac,0-10,claude | iupac | 0-10,bad,10,4.5,5.0,2.798809270624444,1.0,8.0
claude_iupac_0_10,claude,anthropic/claude-3-haiku,iupac,0-10,claude | iupac | 0-10,good,10,8.1,8.0,0.8755950357709132,6.0,9.0
claude_smiles_0_1,claude,anthropic/claude-3-haiku,smiles,0-1,claude | smiles | 0-1,ambiguous,10,0.52,0.5,0.20439612955674522,0.2,0.8
claude_smiles_0_1,claude,anthropic/claude-3-haiku,smiles,0-1,claude | smiles | 0-1,bad,10,0.45,0.55,0.27182510717166813,0.1,0.8
claude_smiles_0_1,claude,anthropic/claude-3-haiku,smiles,0-1,claude | smiles | 0-1,good,10,0.78,0.8,0.09189365834726818,0.6,0.9
claude_smiles_0_10,claude,anthropic/claude-3-haiku,smiles,0-10,claude | smiles | 0-10,ambiguous,10,5.8,6.5,1.6865480854231356,3.0,8.0
claude_smiles_0_10,claude,anthropic/claude-3-haiku,smiles,0-10,claude | smiles | 0-10,bad,10,4.6,5.5,2.4129281427805145,1.0,8.0
claude_smiles_0_10,claude,anthropic/claude-3-haiku,smiles,0-10,claude | smiles | 0-10,good,10,7.8,8.0,0.9189365834726814,6.0,9.0
claude_smiles_descriptors_0_1,claude,anthropic/claude-3-haiku,smiles_descriptors,0-1,claude | smiles+descriptors | 0-1,ambiguous,10,0.63,0.7,0.2110818693198342,0.2,0.9
claude_smiles_descriptors_0_1,claude,anthropic/claude-3-haiku,smiles_descriptors,0-1,claude | smiles+descriptors | 0-1,bad,10,0.6,0.6499999999999999,0.2260776661041756,0.1,0.9
claude_smiles_descriptors_0_1,claude,anthropic/claude-3-haiku,smiles_descriptors,0-1,claude | smiles+descriptors | 0-1,good,10,0.54,0.5,0.1577621275493231,0.3,0.8
claude_smiles_descriptors_0_10,claude,anthropic/claude-3-haiku,smiles_descriptors,0-10,claude | smiles+descriptors | 0-10,ambiguous,10,6.1,7.0,2.1317702607092643,2.0,9.0
claude_smiles_descriptors_0_10,claude,anthropic/claude-3-haiku,smiles_descriptors,0-10,claude | smiles+descriptors | 0-10,bad,10,5.1,5.5,1.8529256146249728,2.0,8.0
claude_smiles_descriptors_0_10,claude,anthropic/claude-3-haiku,smiles_descriptors,0-10,claude | smiles+descriptors | 0-10,good,10,4.9,5.0,1.5951314818673865,3.0,7.0
gpt_iupac_0_1,gpt,openai/gpt-4.1-nano,iupac,0-1,gpt | iupac | 0-1,ambiguous,10,0.45999999999999996,0.45,0.22211108331943574,0.2,0.9
gpt_iupac_0_1,gpt,openai/gpt-4.1-nano,iupac,0-1,gpt | iupac | 0-1,bad,10,0.41,0.35,0.23309511649396117,0.1,0.8
gpt_iupac_0_1,gpt,openai/gpt-4.1-nano,iupac,0-1,gpt | iupac | 0-1,good,10,0.65,0.6499999999999999,0.1957890020745122,0.4,0.9
gpt_iupac_0_10,gpt,openai/gpt-4.1-nano,iupac,0-10,gpt | iupac | 0-10,ambiguous,10,4.2,3.5,2.2010098692292237,2.0,9.0
gpt_iupac_0_10,gpt,openai/gpt-4.1-nano,iupac,0-10,gpt | iupac | 0-10,bad,10,3.3,3.0,2.2135943621178655,1.0,7.0
gpt_iupac_0_10,gpt,openai/gpt-4.1-nano,iupac,0-10,gpt | iupac | 0-10,good,10,5.4,5.5,2.1186998109427604,2.0,8.0
gpt_smiles_0_1,gpt,openai/gpt-4.1-nano,smiles,0-1,gpt | smiles | 0-1,ambiguous,10,0.45999999999999996,0.4,0.23190036174568116,0.2,0.9
gpt_smiles_0_1,gpt,openai/gpt-4.1-nano,smiles,0-1,gpt | smiles | 0-1,bad,10,0.4,0.45,0.3299831645537222,0.0,0.8
gpt_smiles_0_1,gpt,openai/gpt-4.1-nano,smiles,0-1,gpt | smiles | 0-1,good,10,0.7,0.7,0.1414213562373095,0.4,0.9
gpt_smiles_0_10,gpt,openai/gpt-4.1-nano,smiles,0-10,gpt | smiles | 0-10,ambiguous,10,5.0,5.0,1.8257418583505538,2.0,8.0
gpt_smiles_0_10,gpt,openai/gpt-4.1-nano,smiles,0-10,gpt | smiles | 0-10,bad,10,3.7,3.5,2.2135943621178655,1.0,7.0
gpt_smiles_0_10,gpt,openai/gpt-4.1-nano,smiles,0-10,gpt | smiles | 0-10,good,10,6.3,7.0,2.0027758514399734,3.0,9.0
gpt_smiles_descriptors_0_1,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-1,gpt | smiles+descriptors | 0-1,ambiguous,10,0.665,0.75,0.223668902124944,0.3,0.9
gpt_smiles_descriptors_0_1,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-1,gpt | smiles+descriptors | 0-1,bad,10,0.61,0.675,0.23069941963997703,0.2,0.9
gpt_smiles_descriptors_0_1,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-1,gpt | smiles+descriptors | 0-1,good,10,0.55,0.575,0.21473497877875208,0.2,0.8
gpt_smiles_descriptors_0_10,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-10,gpt | smiles+descriptors | 0-10,ambiguous,10,6.3,7.0,2.2135943621178655,2.0,9.0
gpt_smiles_descriptors_0_10,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-10,gpt | smiles+descriptors | 0-10,bad,10,5.1,5.5,1.8529256146249728,2.0,8.0
gpt_smiles_descriptors_0_10,gpt,openai/gpt-4.1-nano,smiles_descriptors,0-10,gpt | smiles+descriptors | 0-10,good,10,5.2,4.5,1.6193277068654826,3.0,7.0
qwen_iupac_0_1,qwen,qwen/qwen3-14b,iupac,0-1,qwen | iupac | 0-1,ambiguous,10,0.5700000000000001,0.6,0.2584139659108574,0.1,0.8
