Name A,SMILES,Structural difference,Comparison type,More stable molecule,stability_mechanism,reason,IUPAC,QED,SA,MW,LogP,Lipinski,BRENK,PAINS,Glaxo,BRENK STRUCTS,PAINS STRUCTS,Glaxo STRUCTS
METHYL ACETATE,CC(=O)OC,ester vs amide,hydrolytic_stability,less stable bro,hydrolysis,"Амид стабилизирован за счет резонанса и менее подвержен гидролизу, чем эфир.",methyl acetate,"0,38","1,74","74,08","0,18",TRUE,FALSE,FALSE,FALSE,,,
N-METHYL ACETAMIDE,CC(=O)NC,,hydrolytic_stability,more stable bro,,,N-methylacetamide,"0,42","1,91","73,09","-0,25",TRUE,FALSE,FALSE,FALSE,,,
ETHYL BENZOATE,CCOC(=O)C1=CC=CC=C1,ester vs amide,hydrolytic_stability,less stable bro,hydrolysis,"Амид лучше противостоит нуклеофильной атаке, чем эфир",ethyl benzoate,"0,6","1,14","150,18","1,86",TRUE,FALSE,FALSE,FALSE,,,
BENZAMIDE,C1=CC=C(C=C1)C(=O)N,,hydrolytic_stability,more stable bro,,,benzamide,"0,59","1,16","121,14","0,79",TRUE,FALSE,FALSE,FALSE,,,
PHENYL ACETATE,CC(=O)OC1=CC=CC=C1,ester vs amide,hydrolytic_stability,less stable bro,hydrolysis,Амидная связь менее подвержена гидролизу,phenyl acetate,"0,43","1,31","136,15","1,61",TRUE,TRUE,FALSE,FALSE,phenol_ester,,
ACETANILIDE,CC(=O)NC1=CC=CC=C1,,hydrolytic_stability,more stable bro,,,N-phenylacetamide,"0,62","1,11","135,17","1,64",TRUE,FALSE,FALSE,FALSE,,,
METHYL PROPIONATE,CCC(=O)OC,ester vs amide,hydrolytic_stability,less stable bro,hydrolysis,Амид более стабилен в водной среде,methyl propanoate,"0,44","1,95","88,11","0,57",TRUE,FALSE,FALSE,FALSE,,,
PROPIONAMIDE,CCC(=O)N,,,more stable bro,,,propanamide,"0,46","1,88","73,09","-0,12",TRUE,FALSE,FALSE,FALSE,,,
ISOPROPYL ACETATE,CC(C)OC(=O)C,ester vs amide,hydrolytic_stability,less stable bro,hydrolysis,Сложный эфир более подвержен гидролизу,propan-2-yl acetate,"0,46","2,06","102,13","0,96",TRUE,FALSE,FALSE,FALSE,,,
ACETAMIDE,CC(=O)N,,,more stable bro,,,acetamide,"0,4","1,83","59,07","-0,51",TRUE,FALSE,FALSE,FALSE,,,
BENZYL ACETATE,CC(=O)OCC1=CC=CC=C1,ester vs amide,hydrolytic_stability,less stable bro,hydrolysis,"У амида связь C-N прочнее, чем у сложного эфира C-O",benzyl acetate,"0,6","1,29","150,18","1,75",TRUE,FALSE,FALSE,FALSE,,,
PHENYLACETAMIDE,C1=CC=C(C=C1)CC(=O)N,,,more stable bro,,,2-phenylacetamide,"0,64","1,34","135,17","0,71",TRUE,FALSE,FALSE,FALSE,,,
METHYL FORMATE,COC=O,ester vs amide,hydrolytic_stability,less stable bro,hydrolysis,Формамид более стабилен,methyl formate,"0,39","2,95","60,05","-0,21",TRUE,TRUE,FALSE,FALSE,aldehyde,,
FORMAMIDE,C(=O)N,,,more stable bro,,,formamide,"0,35","3,55","45,04","-0,9",TRUE,TRUE,FALSE,FALSE,aldehyde,,
DIMETHYL CARBONATE,COC(=O)OC,carbonate vs urea,hydrolytic_stability,less stable bro,hydrolysis,Мочевина более устойчива к гидролизу,dimethyl carbonate,"0,4","2,26","90,08","0,4",TRUE,FALSE,FALSE,FALSE,,,
DIMETHYL UREA,CNC(=O)NC,,,more stable bro,,,"1,3-dimethylurea","0,41","2,37","88,11","-0,45",TRUE,FALSE,FALSE,FALSE,,,
ETHYL METHYL CARBONATE,CCOC(=O)OC,carbonate vs urea,hydrolytic_stability,less stable bro,hydrolysis,Мочевина стабилизирована резонансом,ethyl methyl carbonate,"0,46","1,93","104,1","0,79",TRUE,FALSE,FALSE,FALSE,,,
ETHYL UREA,CCNC(=O)N,,,more stable bro,,,ethylurea,"0,45","2,23","88,11","-0,33",TRUE,FALSE,FALSE,FALSE,,,
METHYL CHLOROFORMATE,COC(=O)Cl,acyl chloride vs carbamate,hydrolytic_stability,less stable bro,hydrolysis,Ацилхлорид обладает высокой реакционной способностью,methyl carbonochloridate,"0,42","2,41","94,5","0,99",TRUE,TRUE,FALSE,TRUE,acid_halide,,"[S,C](=[O,S])[F,Br,Cl,I]"
METHYL CARBAMATE,COC(=O)N,,,more stable bro,,,methyl carbamate,"0,43","2,1","75,07","-0,29",TRUE,FALSE,FALSE,FALSE,,,
BENZOYL CHLORIDE,C1=CC=C(C=C1)C(=O)Cl,acyl chloride vs amide,hydrolytic_stability,less stable bro,hydrolysis,Ацилхлорид быстро гидролизуется,benzoyl chloride,"0,55","1,49","140,57","2,07",TRUE,TRUE,FALSE,TRUE,acid_halide,,"[S,C](=[O,S])[F,Br,Cl,I]"
BENZAMIDE,C1=CC=C(C=C1)C(=O)N,,,more stable bro,,,benzamide,"0,59","1,16","121,14","0,79",TRUE,FALSE,FALSE,FALSE,,,
ACETYL CHLORIDE,CC(=O)Cl,acyl chloride vs amide,hydrolytic_stability,less stable bro,hydrolysis,Ацилхлорид очень реакционноспособен,acetyl chloride,"0,39","2,26","78,5","0,77",TRUE,TRUE,FALSE,TRUE,acid_halide,,"[S,C](=[O,S])[F,Br,Cl,I]"
ACETAMIDE,CC(=O)N,,,more stable bro,,,acetamide,"0,4","1,83","59,07","-0,51",TRUE,FALSE,FALSE,FALSE,,,
ALLYL ALCOHOL,C=CCO,alcohol vs halide,chemical_stability,more stable bro,reactivity,Галогениды — более реакционноспособные электрофилы,prop-2-en-1-ol,"0,43","2,84","58,08","0,16",TRUE,TRUE,FALSE,FALSE,isolated_alkene,,
ALLYL CHLORIDE,C=CCCl,,,less stable bro,,,3-chloroprop-1-ene,"0,33","3,1","76,53","1,41",TRUE,TRUE,FALSE,TRUE,"alkyl_halide, isolated_alkene",,"[Br,Cl,I][CX4;CH,CH2]"
BENZYL ALCOHOL,C1=CC=C(C=C1)CO,alcohol vs halide,chemical_stability,more stable bro,reactivity,Бензилхлорид легко вступает в реакцию замещения,phenylmethanol,"0,57","1,14","108,14","1,18",TRUE,FALSE,FALSE,FALSE,,,
BENZYL CHLORIDE,C1=CC=C(C=C1)CCl,,,less stable bro,,,chloromethylbenzene,"0,51","1,35","126,59","2,43",TRUE,TRUE,FALSE,TRUE,alkyl_halide,,"[Br,Cl,I][CX4;CH,CH2]"
ETHANOL,CCO,alcohol vs halide,chemical_stability,more stable bro,reactivity,Алкилхлорид более реакционноспособен,ethanol,"0,41","1,98","46,07",0,TRUE,FALSE,FALSE,FALSE,,,
ETHYL CHLORIDE,CCCl,,,less stable bro,,,chloroethane,"0,37","2,38","64,52","1,25",TRUE,TRUE,FALSE,TRUE,alkyl_halide,,"[Br,Cl,I][CX4;CH,CH2]"
ISOPROPANOL,CC(C)O,alcohol vs halide,chemical_stability,more stable bro,reactivity,Хлорид более реакционноспособная уходящая группа,propan-2-ol,"0,43","1,74","60,1","0,39",TRUE,FALSE,FALSE,FALSE,,,
ISOPROPYL CHLORIDE,CC(C)Cl,,,less stable bro,,,2-chloropropane,"0,39","2,29","78,54","1,63",TRUE,TRUE,FALSE,TRUE,alkyl_halide,,"[Br,Cl,I][CX4;CH,CH2]"
ACETONE,CC(=O)C,ketone vs alcohol,metabolic_stability,more stable bro,metabolic oxidation,Спирт окисляется до кетона,propan-2-one,"0,4","1,65","58,08","0,6",TRUE,FALSE,FALSE,FALSE,,,
ISOPROPANOL,CC(C)O,,,less stable bro,,,propan-2-ol,"0,43","1,74","60,1","0,39",TRUE,FALSE,FALSE,FALSE,,,
CYCLOHEXANOL,C1CCC(CC1)O,alcohol vs ketone,metabolic_stability,less stable bro,metabolic oxidation,Спирт более легко окисляется,cyclohexanol,"0,49","1,82","100,16","1,31",TRUE,FALSE,FALSE,FALSE,,,
CYCLOHEXANONE,C1CCC(=O)CC1,,,more stable bro,,,cyclohexanone,"0,45","2,01","98,14","1,52",TRUE,FALSE,FALSE,FALSE,,,
BENZYL ALCOHOL,C1=CC=C(C=C1)CO,alcohol vs aldehyde,metabolic_stability,less stable bro,metabolic oxidation,Спирт окисляется до альдегида,phenylmethanol,"0,57","1,14","108,14","1,18",TRUE,FALSE,FALSE,FALSE,,,
BENZALDEHYDE,C1=CC=C(C=C1)C=O,,,more stable bro,,,benzaldehyde,"0,5","1,44","106,12","1,5",TRUE,TRUE,FALSE,FALSE,aldehyde,,
PROCAINE,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,ester vs amide,hydrolytic_stability,less stable bro,hydrolysis,Амид более стабилен в водной среде,2-(diethylamino)ethyl 4-aminobenzoate,"0,6","1,86","236,31","1,77",TRUE,TRUE,FALSE,FALSE,aniline,,
PROCAINAMIDE,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,,,more stable bro,,,4-amino-N-[2-(diethylamino)ethyl]benzamide,"0,73","1,79","235,33","1,34",TRUE,TRUE,FALSE,FALSE,aniline,,
TERFENADINE,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,metabolite,metabolic_stability,less stable bro,metabolic oxidation,Стабильный активный метаболит,1-(4-tert-butylphenyl)-4-[4-[hydroxy(diphenyl)methyl]piperidin-1-yl]butan-1-ol,"0,4","2,86","471,69","6,45",TRUE,FALSE,FALSE,FALSE,,,
FEXOFENADINE,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,,,more stable bro,,,2-[4-[1-hydroxy-4-[4-[hydroxy(diphenyl)methyl]piperidin-1-yl]butyl]phenyl]-2-methylpropanoic acid,"0,34","3,02","501,67","5,51",FALSE,FALSE,FALSE,FALSE,,,
WARFARIN,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,ketone vs alcohol,metabolic_stability,more stable bro,metabolic_oxidation,Спирт окисляется,4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one,"0,75","2,63","308,33","3,61",TRUE,TRUE,FALSE,FALSE,cumarine,,
WARFARIN ALCOHOL,C[C@H](C[C@@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O)O,,,less stable bro,,,"4-hydroxy-3-[(1S,3R)-3-hydroxy-1-phenylbutyl]chromen-2-one","0,72","2,98","310,35","3,4",TRUE,TRUE,FALSE,FALSE,cumarine,,
HYDROQUINONE,C1=CC(=CC=C1O)O,diphenol vs quinone,oxidative_stability,less stable bro,oxidation,Хинон - окисленная форма,"benzene-1,4-diol","0,49","1,53","110,11","1,1",TRUE,TRUE,FALSE,FALSE,hydroquinone,,
QUINONE,C1=CC(=O)C=CC1=O,,,more stable bro,,,"cyclohexa-2,5-diene-1,4-dione","0,42","2,35","108,1","0,25",TRUE,TRUE,TRUE,TRUE,chinone_1,quinone_A(370),O=C1[#6]~[#6]C(=O)[#6]~[#6]1
LEVODOPA,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,catechol vs phenyl,oxidative_stability,less stable bro,oxidation,,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid","0,51","2,43","197,19","0,05",TRUE,TRUE,TRUE,FALSE,catechol,catechol_A(92),
PHENYLALANINE,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,,,more stable bro,,,(2S)-2-amino-3-phenylpropanoic acid,"0,69","1,88","165,19","0,64",TRUE,FALSE,FALSE,FALSE,,,
EPINEPHRINE,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,catechol vs phenol,oxidative_stability,less stable bro,oxidation,,"4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol","0,51","2,65","183,21","0,35",TRUE,TRUE,TRUE,FALSE,catechol,catechol_A(92),
PHENYLEPHRINE,CNC[C@@H](C1=CC(=CC=C1)O)O,,,more stable bro,,,3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,"0,62","2,48","167,21","0,64",TRUE,FALSE,FALSE,FALSE,,,
DOPAMINE,C1=CC(=C(C=C1CCN)O)O,catechol vs phenol,oxidative_stability,less stable bro,oxidation,catechol oxidizes faster,"4-(2-aminoethyl)benzene-1,2-diol","0,54","1,95","153,18","0,6",TRUE,TRUE,TRUE,FALSE,catechol,catechol_A(92),
TYRAmine,C1=CC(=CC=C1CCN)O,,,more stable bro,,,4-(2-aminoethyl)phenol,"0,64","1,62","137,18","0,89",TRUE,FALSE,FALSE,FALSE,,,
RANITIDINE,CN/C(=C\\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,substitution,chemical_stability,more stable bro,chemical_instability,фурановое кольцо обеспечивает большую стабильность,"(E)-1-N'-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-1-N-methyl-2-nitroethene-1,1-diamine","0,38","3,01","314,41","1,46",TRUE,TRUE,FALSE,FALSE,"Aliphatic_long_chain, nitro_group, Oxygen-nitrogen_single_bond",,
OMEPRAZOLE,CC1=C[N+](=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC)[O-],substitution,chemical_stability,less stable bro,chemical_instability,Оттягивание электронов стабилизирует,"6-methoxy-2-[(4-methoxy-3,5-dimethyl-1-oxidopyridin-1-ium-2-yl)methylsulfinyl]-1H-benzimidazole","0,56","3,54","361,42","2,14",TRUE,TRUE,FALSE,FALSE,"N_oxide, quaternary_nitrogen_1",,
PANTOPRAZOLE,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,,,more stable bro,,,"6-(difluoromethoxy)-2-[(3,4-dimethoxy-2-pyridinyl)methylsulfinyl]-1H-benzimidazole","0,68","3,17","383,38","2,88",TRUE,FALSE,FALSE,FALSE,,,
METOPROLOL,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,methoxy vs hydroxyl,metabolic_stability,less stable bro,metabolic_oxidation,,1-[4-(2-methoxyethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol,"0,71","2,39","267,37","1,61",TRUE,FALSE,FALSE,FALSE,,,
O-DESMETHYL_METOPROLOL,[2H]C([2H])(C([2H])(C([2H])([2H])OC1=CC=C(C=C1)CCO)O)NC(C)C,,,more stable bro,,,"1,1,2,3,3-pentadeuterio-1-[4-(2-hydroxyethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol","0,65","4,67","258,37","0,96",TRUE,FALSE,FALSE,FALSE,,,
VENLAFAXINE,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,methoxy vs hydroxyl,metabolic_stability,less stable bro,metabolic_oxidation,,1-[2-(dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol,"0,9","2,75","277,41","3,04",TRUE,FALSE,FALSE,FALSE,,,
DESVENLAFAXINE,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,,,more stable bro,,,4-[2-(dimethylamino)-1-(1-hydroxycyclohexyl)ethyl]phenol,"0,88","2,9","263,38","2,73",TRUE,FALSE,FALSE,FALSE,,,
TRAMADOL,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,methoxy vs hydroxyl,metabolic_stability,less stable bro,metabolic_oxidation,,"cis-(1R,2R)-2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexan-1-ol","0,91","3,02","263,38","2,63",TRUE,FALSE,FALSE,FALSE,,,
O-DESMETHYLTRAMADOL,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)O)O,,,more stable bro,,,"3-[(1R,2R)-2-[(dimethylamino)methyl]-1-hydroxycyclohexyl]phenol","0,86","3,17","249,35","2,33",TRUE,FALSE,FALSE,FALSE,,,
DIPHENHYDRAMINE,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,demethylation,metabolic_stability,less stable bro,metabolic_oxidation,,"2-benzhydryloxy-N,N-dimethylethanamine","0,78","1,82","255,36","3,35",TRUE,FALSE,FALSE,FALSE,,,
N-DESMETHYL DIPHENHYDRAMINE,CNCCOC(C1=CC=CC=C1)C2=CC=CC=C2,,,more stable bro,,,2-benzhydryloxy-N-methylethanamine,"0,78","1,84","241,33","3,01",TRUE,TRUE,FALSE,FALSE,Aliphatic_long_chain,,
AMITRIPTYLINE,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,tertiary vs secondary amine,metabolic_stability,less stable bro,metabolic_oxidation,,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine","0,81","2,17","277,41","4,17",TRUE,FALSE,TRUE,FALSE,,styrene_A(13),
NORTRIPTYLINE,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,,,more stable bro,,,"N-methyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine","0,83","2,23","263,38","3,83",TRUE,TRUE,TRUE,FALSE,Aliphatic_long_chain,styrene_A(13),
IMIPRAMINE,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,tertiary vs secondary amine,metabolic_stability,less stable bro,metabolic_oxidation,tertiary amine more stable,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine","0,84","1,93","280,42","3,88",TRUE,FALSE,FALSE,FALSE,,,
DESIPRAMINE,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,,,more stable bro,,,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N-methylpropan-1-amine","0,85","1,95","266,39","3,53",TRUE,TRUE,FALSE,FALSE,Aliphatic_long_chain,,
ANILINE,C1=CC=C(C=C1)N,amine vs amide,oxidative_stability,less stable bro,oxidation,"Анилин легко окисляется до реакционноспособных интермедиатов, амид стабилизирован",aniline,"0,48","1,26","93,13","1,27",TRUE,TRUE,FALSE,FALSE,aniline,,
ACETANILIDE,CC(=O)NC1=CC=CC=C1,,,more stable bro,,,N-phenylacetamide,"0,62","1,11","135,17","1,64",TRUE,FALSE,FALSE,FALSE,,,
PHENOL,C1=CC=C(C=C1)O,phenol vs ether,oxidative_stability,less stable bro,oxidation,"Фенол легче окисляется, эфир более стабилен",phenol,"0,51","1,18","94,11","1,39",TRUE,FALSE,FALSE,FALSE,,,
ANISOLE,COC1=CC=CC=C1,,,more stable bro,,,anisole,"0,53",1,"108,14","1,7",TRUE,FALSE,FALSE,FALSE,,,
CATECHOL,C1=CC=C(C(=C1)O)O,catechol vs methoxyphenol,oxidative_stability,less stable bro,oxidation,катехол легко окисляется до хинонов,"benzene-1,2-diol","0,49","1,5","110,11","1,1",TRUE,TRUE,TRUE,FALSE,catechol,catechol_A(92),
GUAIACOL,COC1=CC=CC=C1O,,,more stable bro,,,2-methoxyphenol,"0,61","1,32","124,14","1,4",TRUE,FALSE,FALSE,FALSE,,,
RESORCINOL,C1=CC(=CC(=C1)O)O,diphenol vs methoxyphenol,oxidative_stability,less stable bro,oxidation,дифенолы более склонны к окислению,"benzene-1,3-diol","0,52","1,69","110,11","1,1",TRUE,FALSE,FALSE,FALSE,,,
HYDROXYANISOLE,COC1=CC=C(C=C1)O,,,more stable bro,,,4-methoxyphenol,"0,61","1,25","124,14","1,4",TRUE,FALSE,FALSE,FALSE,,,
