Smiles,smiles,score,comment,DrugLikenessReward,DockingScoreReward,LogPReward,HeavyAtomCountReward,NumHAcceptorsReward,NumHDonorsReward,PAINSReward,SureChEMBLReward,GlaxoReward,Reward,DrugLikenessProperty,DockingScoreProperty,LogPProperty,HeavyAtomCountProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,SureChEMBLProperty,GlaxoProperty,Epoch
O=C(NCc1ccc2c(c1)OCCO2)c1cccc(Cc2ccccc2)c1,O=C(NCc1ccc2c(c1)OCCO2)c1cccc(Cc2ccccc2)c1,0.85,No major red flags observed; contains common drug-like features with no clear toxicophores or instability alerts.,8.5,8.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.3,0.85,-8.8,3.9786000000000037,27,3,1,0,0,0,40
NC(=O)Nc1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,NC(=O)Nc1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,0.8,"The molecule contains a urea-like amide group (NC(=O)N) which may raise stability concerns, but lacks obvious toxicophores or severe physicochemical liabilities.",8.0,9.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.0,0.8,-9.0,4.435000000000003,23,1,2,0,0,0,40
Cc1ccc(C(=O)Cc2cccc(-c3ccccc3)c2)cc1,Cc1ccc(C(=O)Cc2cccc(-c3ccccc3)c2)cc1,0.85,"No major red flags observed; scaffold resembles common bioactive cores but lacks ionizable groups, which may impact solubility and oral bioavailability.",8.5,9.0,-0.08742000000000427,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.412579999999995,0.85,-9.0,5.087420000000004,22,1,0,0,0,0,40
O=C(CC1CCCN(c2c[nH]c3ccccc23)C1)c1ccc(-c2ccccc2)cc1,O=C(CC1CCCN(c2c[nH]c3ccccc23)C1)c1ccc(-c2ccccc2)cc1,0.85,"Molecule shows good structural features with no obvious toxicophores or reactive groups, though the imine (nH) may require stability evaluation.",8.5,9.2,-1.3243000000000062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16.375699999999995,0.85,-9.2,6.324300000000006,30,2,1,0,0,0,40
Cc1cccc(C(=O)NCc2cccc(-c3cccc(Cl)c3)c2)c1,Cc1cccc(C(=O)NCc2cccc(-c3cccc(Cl)c3)c2)c1,0.85,"Molecule shows acceptable drug-likeness with no major reactive groups or toxicophores, though the chlorinated aromatic substituent may raise mild metabolic concern.",8.5,9.2,-0.24542000000000375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.454579999999996,0.85,-9.2,5.245420000000004,24,1,1,0,0,0,40
O=C(NCc1cccc(Cc2ccccc2)c1)c1ccccc1,O=C(NCc1cccc(Cc2ccccc2)c1)c1ccccc1,0.9,No major developability concerns; stable amide linkage and aromatic system with no reactive groups or toxicophores detected.,9.0,8.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.4,0.9,-8.4,4.207400000000003,23,1,1,0,0,0,40
c1ccc(Cc2cccc(Cc3ccc4cc[nH]c4c3)c2)cc1,c1ccc(Cc2cccc(Cc3ccc4cc[nH]c4c3)c2)cc1,0.3,"High lipophilicity, complex aromatic system with potential reactive pyrrole ring, and synthetic complexity reduce developability despite lack of obvious toxicophores.",3.0,9.2,-0.34950000000000436,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11.850499999999995,0.3,-9.2,5.349500000000004,23,0,1,0,0,0,40
O=C(NCc1ccc2c(c1)OCCO2)c1ccc(Cc2ccccc2)cc1,O=C(NCc1ccc2c(c1)OCCO2)c1ccc(Cc2ccccc2)cc1,0.85,No major red flags observed; structurally resembles benzamide derivatives with acceptable H-bonding potential and moderate complexity.,8.5,8.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.1,0.85,-8.6,3.9786000000000037,27,3,1,0,0,0,40
O=C(NCc1ccccc1)c1cccc(Cc2ccccc2)c1,O=C(NCc1ccccc1)c1cccc(Cc2ccccc2)c1,0.4,"Aniline-like amine and multiple aromatic rings raise concerns about metabolic liability and poor solubility, though the core scaffold is structurally simple.",4.0,8.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.5,0.4,-8.5,4.207400000000003,23,1,1,0,0,0,40
Cc1cccc(C(=O)NCc2ccc(-c3ccccc3)cc2)c1,Cc1cccc(C(=O)NCc2ccc(-c3ccccc3)cc2)c1,0.85,"Molecule shows good drug-like features with standard aromatic scaffolds and a piperazine linker, but lacks clear differentiation from known classes and may require optimization for selectivity.",8.5,8.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.4,0.85,-8.9,4.592020000000003,23,1,1,0,0,0,40
Cc1ccc(-c2cccc(C(=O)NCc3ccc4c(c3)OCCO4)c2)cc1,Cc1ccc(-c2cccc(C(=O)NCc3ccc4c(c3)OCCO4)c2)cc1,0.85,"No major red flags observed; stable amide linkage and aromatic core with acceptable physicochemical properties, though bulky substituents may impact solubility.",8.5,9.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,18.0,0.85,-9.5,4.363220000000003,27,3,1,0,0,0,40
O=C(NCCc1ccccc1)c1ccc(-c2ccccc2)cc1,O=C(NCCc1ccccc1)c1ccc(-c2ccccc2)cc1,0.85,No major developability concerns; biphenyl core with amide linkage and aromatic substituents shows good drug-like features and minimal structural alerts.,8.5,8.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16.8,0.85,-8.3,4.326100000000003,23,1,1,0,0,0,40
CNC(=O)c1ccc(-c2ccc3c(c2)OCCO3)c(Cc2ccccc2)c1,CNC(=O)c1ccc(-c2ccc3c(c2)OCCO3)c(Cc2ccccc2)c1,0.85,"No major developability concerns; stable amide and ether groups with acceptable physicochemical profile, though cyclohexyl substitution may impact lipophilicity.",8.5,9.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.9,0.85,-9.4,4.075200000000003,27,3,1,0,0,0,40
CC(C)(O)CNC(=O)c1ccc(-c2cccc(-c3ccc4cc[nH]c4c3)c2)cc1,CC(C)(O)CNC(=O)c1ccc(-c2cccc(-c3ccc4cc[nH]c4c3)c2)cc1,0.6,Moderate concern for high molecular weight and potential lipophilicity; no obvious toxicophores or reactive groups detected.,6.0,9.2,-0.0026000000000037105,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15.197399999999995,0.6,-9.2,5.002600000000004,29,2,3,0,0,0,40
NC(=O)Nc1ccc(-c2cccc(Cc3ccccc3)c2)cc1,NC(=O)Nc1ccc(-c2cccc(Cc3ccccc3)c2)cc1,0.7,"Moderate concern for high lipophilicity and potential solubility issues due to multiple aromatic rings and cyclohexane substituent, but no obvious toxicophores or synthetic intractability.",7.0,8.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15.9,0.7,-8.9,4.435000000000003,23,1,2,0,0,0,40
O=C(NCc1cccc(Cc2ccccc2)c1)c1ccccc1,O=C(NCc1cccc(Cc2ccccc2)c1)c1ccccc1,0.9,No major developability concerns; stable amide linkage and aromatic system with no reactive groups or toxicophores detected.,9.0,8.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.4,0.9,-8.4,4.207400000000003,23,1,1,0,0,0,40
Cc1ccc(-c2ccccc2)cc1CNC(=O)c1ccccc1,Cc1ccc(-c2ccccc2)cc1CNC(=O)c1ccccc1,0.85,"Drug-like biphenyl-piperidine amide with no obvious reactive groups or toxicophores, though potential logP concerns may require solubility optimization.",8.5,8.7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.2,0.85,-8.7,4.592020000000003,23,1,1,0,0,0,40
O=C(NCc1ccccc1)c1ccc(Cc2ccccc2)cc1,O=C(NCc1ccccc1)c1ccc(Cc2ccccc2)cc1,0.85,"Molecule shows no major developability concerns with a stable amide core, no toxicophores, and reasonable physicochemical properties, though biphenyl lipophilicity may require solubility optimization.",8.5,8.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16.9,0.85,-8.4,4.207400000000003,23,1,1,0,0,0,40
O=C(Cc1ccc2c(c1)OCCO2)c1cccc(Cc2ccccc2)c1,O=C(Cc1ccc2c(c1)OCCO2)c1cccc(Cc2ccccc2)c1,0.7,"Potential solubility challenges due to multiple aromatic rings and an ethylene glycol group, but no major reactive groups or toxicophores identified.",7.0,9.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16.4,0.7,-9.4,4.474000000000004,26,3,0,0,0,0,40
Cc1cccc(C(=O)NCc2cccc(-c3ccccc3)c2)c1,Cc1cccc(C(=O)NCc2cccc(-c3ccccc3)c2)c1,0.95,"No major developability concerns; biphenyl amide scaffold with no reactive groups, toxicophores, or structural alerts, and reasonable physicochemical profile.",9.5,8.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,18.4,0.95,-8.9,4.592020000000003,23,1,1,0,0,0,40
O=C(NCc1cccc(Cc2ccccc2)c1)c1ccccc1,O=C(NCc1cccc(Cc2ccccc2)c1)c1ccccc1,0.9,No major developability concerns; stable amide linkage and aromatic system with no reactive groups or toxicophores detected.,9.0,8.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.4,0.9,-8.4,4.207400000000003,23,1,1,0,0,0,40
