Smiles,smiles,score,comment,DockingScoreReward,LogPReward,HeavyAtomCountReward,NumHAcceptorsReward,NumHDonorsReward,PAINSReward,GlaxoReward,Reward,DockingScoreProperty,LogPProperty,HeavyAtomCountProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,GlaxoProperty,Epoch
O=[SH]c1ccc2c(c1)C1C=CCC1C(c1ccc(C(O)F)cc1-c1ccoc1)N2,O=[SH]c1ccc2c(c1)C1C=CCC1C(c1ccc(C(O)F)cc1-c1ccoc1)N2,3.76229999999999,,5.8,-0.0377000000000045,0,0,0,-1,-1,3.76229999999999,-5.8,5.0377,29,4,3,1,1,0
CN(C)C(=O)CNC1CC(O)C(c2ccc(-c3cccc(Cl)c3)cc2)C1,CN(C)C(=O)CNC1CC(O)C(c2ccc(-c3cccc(Cl)c3)cc2)C1,6.2,,6.2,0,0,0,0,0,0,6.2,-6.2,3.2917,26,3,2,0,0,0
C=CCOc1ccc(OC(C)C(=O)COC)cc1NCC=O,C=CCOc1ccc(OC(C)C(=O)COC)cc1NCC=O,5.1,,5.1,0,0,0,0,0,0,5.1,-5.1,1.845,22,6,1,0,0,0
CNC(C)(C)c1ccc(C#N)cc1C1CCCNC1,CNC(C)(C)c1ccc(C#N)cc1C1CCCNC1,6.2,,6.2,0,0,0,0,0,0,6.2,-6.2,2.47978,19,3,2,0,0,0
Cn1ncc2c1CC(C1CCC(c3cccc(Cl)c3)C1)CC2c1cccc(C#N)c1,Cn1ncc2c1CC(C1CCC(c3cccc(Cl)c3)C1)CC2c1cccc(C#N)c1,5.17661999999999,,6.4,-1.22338,0,0,0,0,0,5.17661999999999,-6.4,6.22338,30,3,0,0,0,0
CC(C)NCc1ccc(NC=S)cc1-c1ccccc1N,CC(C)NCc1ccc(NC=S)cc1-c1ccccc1N,6.3,,6.3,0,0,0,0,0,0,6.3,-6.3,3.8029,21,3,3,0,0,0
CN(CC(=O)c1ccccc1Nc1cccc(N2CCOCC2)c1)NC=O,CN(CC(=O)c1ccccc1Nc1cccc(N2CCOCC2)c1)NC=O,3.7,,5.7,0,0,0,0,-1,-1,3.7,-5.7,2.0423,27,6,2,1,1,0
CC(C=O)SC1CCC(=O)N1c1ccc(C(C)(F)C#N)cc1,CC(C=O)SC1CCC(=O)N1c1ccc(C(C)(F)C#N)cc1,6.3,,6.3,0,0,0,0,0,0,6.3,-6.3,3.16838,22,4,0,0,0,0
CN(Cc1ccc(C2CCC(=O)N2)c(C(C)(C)O)c1)C(=O)[O-],CN(Cc1ccc(C2CCC(=O)N2)c(C(C)(C)O)c1)C(=O)[O-],6.5,,6.5,0,0,0,0,0,0,6.5,-6.5,0.640199999999999,22,4,2,0,0,0
C=CCOc1cc(C23CC4CC(CC(C4)C2)C3)ccc1-c1ccoc1,C=CCOc1cc(C23CC4CC(CC(C4)C2)C3)ccc1-c1ccoc1,5.42079999999999,,6.4,-0.979200000000005,0,0,0,0,0,5.42079999999999,-6.4,5.9792,25,2,0,0,0,0
NC(=O)c1ccc(S(=O)(=O)C(F)OC(=O)C(=O)c2ccccc2)cc1,NC(=O)c1ccc(S(=O)(=O)C(F)OC(=O)C(=O)c2ccccc2)cc1,7.3,,7.3,0,0,0,0,0,0,7.3,-7.3,1.23839999999999,25,6,1,0,0,0
COCCC(C)Sc1ccc([SH]=O)c(-c2ccc3c(c2)OCCO3)c1,COCCC(C)Sc1ccc([SH]=O)c(-c2ccc3c(c2)OCCO3)c1,5.6,,6.6,0,0,0,0,0,-1,5.6,-6.6,3.9461,25,5,1,0,1,0
Cn1ncc2c1CC(c1cc(CCN3CC[NH+](S(N)(=O)=O)CC3)ccc1N1CCOCC1)CC2,Cn1ncc2c1CC(c1cc(CCN3CC[NH+](S(N)(=O)=O)CC3)ccc1N1CCOCC1)CC2,4.5757,,5.1,-0.524299999999994,0,0,0,0,0,4.5757,-5.1,-0.524299999999994,34,7,2,0,0,0
CC(C)(O)c1ccc(C2OCCC2C#N)cc1C1CCCCCC1,CC(C)(O)c1ccc(C2OCCC2C#N)cc1C1CCCCCC1,6.8,,6.8,0,0,0,0,0,0,6.8,-6.8,4.95298,24,3,1,0,0,0
CC(C=O)Sc1ccc(-c2ccc(S(=O)(=O)NCc3ccc4cc[nH]c4c3)c(Cl)c2)cc1,CC(C=O)Sc1ccc(-c2ccc(S(=O)(=O)NCc3ccc4cc[nH]c4c3)c(Cl)c2)cc1,5.45369999999999,,6.1,-0.646300000000004,0,0,0,0,0,5.45369999999999,-6.1,5.6463,32,4,2,0,0,0
CN(Cc1ccc2c(c1)OCO2)[NH+]1CCc2cc(-c3ccccc3C3CCC(O)C3)ccc2C1,CN(Cc1ccc2c(c1)OCO2)[NH+]1CCc2cc(-c3ccccc3C3CCC(O)C3)ccc2C1,3.7,,4.7,0,0,0,0,0,-1,3.7,-4.7,3.6987,34,4,2,0,1,0
CCCNc1ccc(-c2nnco2)c(-c2nc(NC(C)C)cs2)c1,CCCNc1ccc(-c2nnco2)c(-c2nc(NC(C)C)cs2)c1,6.1,,6.1,0,0,0,0,0,0,6.1,-6.1,4.5023,24,7,2,0,0,0
S=CNC(=S)c1ccc(Cl)c(C2CCNCC2)c1,S=CNC(=S)c1ccc(Cl)c(C2CCNCC2)c1,6.4,,6.4,0,0,0,0,0,0,6.4,-6.4,3.0293,18,3,2,0,0,0
CCC(N)C(=O)c1ccc(C[SH](=O)=O)c(S(C)(=O)=O)c1,CCC(N)C(=O)c1ccc(C[SH](=O)=O)c(S(C)(=O)=O)c1,5.1,,6.1,0,0,0,0,0,-1,5.1,-6.1,0.1215,20,6,2,0,1,0
CC(C(c1ccc(C2CC2)cc1)c1c[nH]c2ccccc12)N1CC[NH2+]CC1,CC(C(c1ccc(C2CC2)cc1)c1c[nH]c2ccccc12)N1CC[NH2+]CC1,6.9,,6.9,0,0,0,0,0,0,6.9,-6.9,3.4447,27,1,2,0,0,0
