Smiles,smiles,score,comment,DrugLikenessReward,DockingScoreReward,LogPReward,HeavyAtomCountReward,NumHAcceptorsReward,NumHDonorsReward,PAINSReward,SureChEMBLReward,GlaxoReward,Reward,DrugLikenessProperty,DockingScoreProperty,LogPProperty,HeavyAtomCountProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,SureChEMBLProperty,GlaxoProperty,Epoch
Cc1cccc(C(c2ccccc2)c2ccccc2)c1,Cc1cccc(C(c2ccccc2)c2ccccc2)c1,0.65,"The molecule contains a symmetric biphenyl core with a central carbon bridge, which may lead to poor solubility and limited oral bioavailability due to high lipophilicity and potential metabolic instability.",6.5,8.0,-0.17522000000000393,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.324779999999997,0.65,-8.0,5.175220000000004,20,0,0,0,0,0,50
Cc1cccc(Cc2ccc(-c3ccccc3)cc2)c1,Cc1cccc(Cc2ccc(-c3ccccc3)cc2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but its lipophilicity and molecular weight may pose challenges for oral bioavailability and solubility.",7.5,6.8,-0.25282000000000426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.047179999999997,0.75,-6.8,5.252820000000004,20,0,0,0,0,0,50
FC(Cc1ccccc1)Cc1cccc(-c2ccccc2)c1,FC(Cc1ccccc1)Cc1cccc(-c2ccccc2)c1,0.65,"The molecule contains a fluorine atom and multiple aromatic rings, but lacks clear toxicophores or reactive groups; however, its complex structure and potential for poor solubility may hinder oral developability.",6.5,7.0,-0.4769000000000041,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.023099999999996,0.65,-7.0,5.476900000000004,22,0,0,0,0,0,50
Cc1cccc(C(c2ccccc2)c2ccccc2)c1,Cc1cccc(C(c2ccccc2)c2ccccc2)c1,0.65,"The molecule contains a symmetric biphenyl core with a central carbon bridge, which may lead to poor solubility and limited oral bioavailability due to high lipophilicity and potential metabolic instability.",6.5,8.0,-0.17522000000000393,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.324779999999997,0.65,-8.0,5.175220000000004,20,0,0,0,0,0,50
Cc1ccc(C(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C(c2ccccc2)c2ccccc2)cc1,0.65,"The molecule contains a bulky, symmetric structure with multiple aromatic rings, which may impact solubility and oral bioavailability, though it lacks obvious reactive groups or toxicophores.",6.5,8.0,-0.17522000000000393,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.324779999999997,0.65,-8.0,5.175220000000004,20,0,0,0,0,0,50
CCc1ccccc1Cc1ccccc1,CCc1ccccc1Cc1ccccc1,0.65,"The molecule contains a large, lipophilic aromatic system with poor solubility and potential for metabolic instability, but lacks obvious toxicophores or reactive groups.",6.5,6.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.6,0.65,-6.1,3.839800000000003,15,0,0,0,0,0,50
Cc1cccc(C(c2ccccc2)c2ccccc2)c1,Cc1cccc(C(c2ccccc2)c2ccccc2)c1,0.65,"The molecule contains a symmetric biphenyl core with a central carbon bridge, which may lead to poor solubility and limited oral bioavailability due to high lipophilicity and potential metabolic instability.",6.5,8.0,-0.17522000000000393,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.324779999999997,0.65,-8.0,5.175220000000004,20,0,0,0,0,0,50
Cc1cc(CC(C)F)ccc1-c1ccccc1,Cc1cc(CC(C)F)ccc1-c1ccccc1,0.75,The molecule has a reasonable scaffold but contains a fluorinated side chain which may introduce metabolic liability and synthetic complexity.,7.5,6.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.7,0.75,-6.2,4.562520000000004,17,0,0,0,0,0,50
Cc1cccc(-c2ccccc2Cc2ccccc2)c1,Cc1cccc(-c2ccccc2Cc2ccccc2)c1,0.65,"The molecule contains a fused aromatic system with reasonable lipophilicity, but lacks hydrogen bond donors and has a high molecular weight, which may impact oral bioavailability and solubility.",6.5,7.1,-0.25282000000000426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.347179999999994,0.65,-7.1,5.252820000000004,20,0,0,0,0,0,50
Cc1cccc(-c2ccccc2Cc2ccccc2)c1,Cc1cccc(-c2ccccc2Cc2ccccc2)c1,0.65,"The molecule contains a fused aromatic system with reasonable lipophilicity, but lacks hydrogen bond donors and has a high molecular weight, which may impact oral bioavailability and solubility.",6.5,7.1,-0.25282000000000426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.347179999999994,0.65,-7.1,5.252820000000004,20,0,0,0,0,0,50
Cc1cccc(C(c2ccccc2)c2ccccc2)c1,Cc1cccc(C(c2ccccc2)c2ccccc2)c1,0.65,"The molecule contains a symmetric biphenyl core with a central carbon bridge, which may lead to poor solubility and limited oral bioavailability due to high lipophilicity and potential metabolic instability.",6.5,8.0,-0.17522000000000393,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.324779999999997,0.65,-8.0,5.175220000000004,20,0,0,0,0,0,50
Cc1ccc(C(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C(c2ccccc2)c2ccccc2)cc1,0.65,"The molecule contains a bulky, symmetric structure with multiple aromatic rings, which may impact solubility and oral bioavailability, though it lacks obvious reactive groups or toxicophores.",6.5,8.0,-0.17522000000000393,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.324779999999997,0.65,-8.0,5.175220000000004,20,0,0,0,0,0,50
Cc1ccc(C(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C(c2ccccc2)c2ccccc2)cc1,0.65,"The molecule contains a bulky, symmetric structure with multiple aromatic rings, which may impact solubility and oral bioavailability, though it lacks obvious reactive groups or toxicophores.",6.5,8.0,-0.17522000000000393,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.324779999999997,0.65,-8.0,5.175220000000004,20,0,0,0,0,0,50
CC(F)c1ccc(-c2cccc(CC(C)(C)O)c2)cc1,CC(F)c1ccc(-c2cccc(CC(C)(C)O)c2)cc1,0.75,"The molecule contains a tertiary alcohol and a fluorine-substituted aromatic system, which may raise concerns about metabolic stability and synthetic complexity, though it shows reasonable drug-like features.",7.5,7.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.5,0.75,-7.0,4.697500000000005,20,1,1,0,0,0,50
CC(F)Cc1ccc(C(C)F)c(-c2ccccc2)c1,CC(F)Cc1ccc(C(C)F)c(-c2ccccc2)c1,0.75,"The molecule has a reasonable scaffold but contains multiple fluorine atoms and a complex branching pattern, which may impact synthetic tractability and oral bioavailability.",7.5,7.3,-0.2846000000000046,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.515399999999996,0.75,-7.3,5.284600000000005,19,0,0,0,0,0,50
CC(F)CCc1cccc(-c2ccccc2)c1,CC(F)CCc1cccc(-c2ccccc2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but its lipophilicity may be high due to the aromatic system and alkyl chain, potentially affecting solubility and oral bioavailability.",7.5,6.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.0,0.75,-6.5,4.644200000000004,17,0,0,0,0,0,50
