Epoch,DockingScoreProperty,DrugLikenessProperty,GlaxoProperty,HeavyAtomCountProperty,LogPProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,Reward,score
0,-5.536923076923077,0.43153846153846154,0.3384615384615385,26.49230769230769,2.943194153846156,4.676923076923077,1.523076923076923,0.1076923076923077,9.372135692307692,0.43153846153846154
1,-4.409375,0.4265625,0.296875,27.53125,3.4576014062500025,4.671875,1.609375,0.109375,8.991899375,0.4265625
2,-5.609375,0.44375,0.265625,26.59375,3.5959021875000023,4.46875,1.59375,0.078125,9.667215624999999,0.44375
3,-4.269230769230769,0.46692307692307694,0.23076923076923078,26.323076923076922,3.501037384615387,4.153846153846154,1.7230769230769232,0.07692307692307693,9.964263538461537,0.46692307692307694
4,-4.4859375,0.4921875,0.21875,26.890625,3.6690765625000026,4.25,1.453125,0.03125,9.978734999999999,0.4921875
5,-5.441538461538461,0.4715384615384615,0.16923076923076924,26.861538461538462,4.103525692307695,4.369230769230769,1.1692307692307693,0.06153846153846154,9.81256646153846,0.4715384615384615
6,-5.384615384615385,0.45307692307692304,0.26153846153846155,26.46153846153846,3.755089230769233,4.676923076923077,1.4461538461538461,0.09230769230769231,9.655987692307692,0.45307692307692304
7,-5.7092307692307696,0.4838461538461538,0.09230769230769231,24.923076923076923,3.8039456923076944,4.046153846153846,1.2307692307692308,0.06153846153846154,10.297972307692305,0.4838461538461538
8,-6.1953125,0.47421875,0.234375,22.953125,3.457383593750002,3.53125,1.515625,0.046875,10.5107359375,0.47421875
9,-6.336923076923076,0.53,0.13846153846153847,23.138461538461538,3.6776390769230796,3.6615384615384614,0.8307692307692308,0.03076923076923077,11.281712615384613,0.53
10,-6.247692307692308,0.54,0.046153846153846156,21.50769230769231,3.735840153846156,2.9846153846153847,0.7692307692307693,0.0,11.481727692307691,0.54
11,-6.2615384615384615,0.5092307692307693,0.1076923076923077,21.076923076923077,3.679877230769233,2.6769230769230767,0.7384615384615385,0.03076923076923077,11.139172307692307,0.5092307692307693
12,-6.3765625,0.63,0.03125,19.8125,4.269185468750003,1.765625,0.40625,0.0,12.488990312499999,0.63
13,-6.434375,0.67421875,0.0,20.4375,4.834131562500004,1.140625,0.234375,0.0,12.905827812499998,0.67421875
14,-6.741538461538461,0.6903076923076923,0.0,21.892307692307693,5.356720307692313,0.8769230769230769,0.09230769230769231,0.0,13.116753538461536,0.6903076923076923
15,-6.7109375,0.69640625,0.015625,20.90625,4.837985000000003,0.953125,0.296875,0.015625,13.281377499999998,0.69640625
16,-6.7203125,0.69921875,0.015625,21.453125,4.861191250000004,1.25,0.15625,0.015625,13.366044374999998,0.69921875
17,-6.990625,0.67578125,0.0,21.578125,5.057476562500004,0.90625,0.140625,0.0,13.399248749999998,0.67578125
18,-6.865625,0.7340625,0.0,20.375,5.2207984375000045,0.375,0.0625,0.0,13.778441562499998,0.7340625
19,-7.0671875,0.76921875,0.0,20.125,5.257143437500004,0.21875,0.03125,0.03125,14.330749999999997,0.76921875
20,-7.0,0.8049999999999999,0.0,20.171875,5.377944062500005,0.109375,0.03125,0.0,14.579397187499996,0.8049999999999999
21,-6.878125,0.8315625,0.0,17.625,4.665499375000004,0.125,0.0,0.0,15.031764374999998,0.8315625
22,-6.684375,0.85625,0.0,16.484375,4.437174375000003,0.046875,0.0,0.0,15.167867812499999,0.85625
23,-6.54375,0.88453125,0.0,16.546875,4.422483437500003,0.0,0.0,0.0,15.355649999999999,0.88453125
24,-6.9296875,0.86203125,0.0,18.5,4.979929375000004,0.015625,0.0,0.0,15.345511874999998,0.86203125
