Epoch,score,DrugLikenessProperty,DockingScoreProperty,Reward,DrugLikenessReward,DockingScoreReward
0,0.43769230769230766,0.43769230769230766,-5.592307692307692,10.098461538461539,4.376923076923077,5.7215384615384615
1,0.40546875,0.40546875,-4.446875,9.434375,4.0546875,5.3796875
2,0.45390625,0.45390625,-5.75,10.3859375,4.5390625,5.846875
3,0.44,0.44,-0.3830769230769227,10.16,4.4,5.76
4,0.45078125,0.45078125,-5.134375,10.053125,4.5078125,5.5453125
5,0.5153846153846153,0.5153846153846153,-4.829230769230769,10.909230769230769,5.153846153846154,5.7553846153846155
6,0.4130769230769231,0.4130769230769231,-4.729230769230769,9.719999999999999,4.130769230769231,5.5892307692307694
7,0.46484375,0.46484375,-5.88125,10.846875,4.6484375,6.1984375
8,0.5230769230769231,0.5230769230769231,-6.021538461538461,11.280000000000001,5.230769230769231,6.049230769230769
9,0.5484615384615384,0.5484615384615384,-6.292307692307692,11.776923076923078,5.484615384615385,6.292307692307692
10,0.5753846153846154,0.5753846153846154,-6.144615384615384,11.955384615384617,5.753846153846154,6.201538461538462
11,0.584375,0.584375,-6.228125,12.1015625,5.84375,6.2578125
12,0.63078125,0.63078125,-6.515625,12.8234375,6.3078125,6.515625
13,0.65,0.65,-6.590625,13.090625,6.5,6.590625
14,0.70703125,0.70703125,-6.628125,13.6984375,7.0703125,6.628125
15,0.6971875,0.6971875,-6.5203125,13.6796875,6.971875,6.7078125
16,0.6953125,0.6953125,-6.4703125,13.4828125,6.953125,6.5296875
17,0.72890625,0.72890625,-6.671875,13.9609375,7.2890625,6.671875
18,0.77359375,0.77359375,-6.7546875,14.640625,7.7359375,6.9046875
19,0.7690625,0.7690625,-6.884375,14.5859375,7.690625,6.8953125
20,0.69796875,0.69796875,-7.003125,13.9828125,6.9796875,7.003125
21,0.7940625,0.7940625,-7.078125,15.01875,7.940625,7.078125
22,0.7514062499999999,0.7514062499999999,-6.465625,14.2171875,7.5140625,6.703125
23,0.824375,0.824375,-7.19375,15.4375,8.24375,7.19375
24,0.8384375,0.8384375,-6.9015625,15.2859375,8.384375,6.9015625
25,0.8295312499999999,0.8295312499999999,-7.2234375,15.51875,8.2953125,7.2234375
26,0.82046875,0.82046875,-7.0796875,15.284375,8.2046875,7.0796875
27,0.8245312499999999,0.8245312499999999,-6.8984375,15.1953125,8.2453125,6.95
28,0.84359375,0.84359375,-7.328125,15.7640625,8.4359375,7.328125
29,0.85203125,0.85203125,-7.2078125,15.728125,8.5203125,7.2078125
30,0.87296875,0.87296875,-7.3484375,16.078125,8.7296875,7.3484375
31,0.868125,0.868125,-7.51875,16.2,8.68125,7.51875
32,0.8615625,0.8615625,-7.3765625,15.9921875,8.615625,7.3765625
33,0.87390625,0.87390625,-7.2453125,15.984375,8.7390625,7.2453125
34,0.839375,0.839375,-7.3875,15.78125,8.39375,7.3875
35,0.8184375,0.8184375,-7.4265625,15.6109375,8.184375,7.4265625
36,0.8635937499999999,0.8635937499999999,-7.3125,15.9484375,8.6359375,7.3125
37,0.82671875,0.82671875,-7.4640625,15.73125,8.2671875,7.4640625
38,0.87296875,0.87296875,-7.265625,15.9953125,8.7296875,7.265625
39,0.875625,0.875625,-7.40625,16.1625,8.75625,7.40625
40,0.8821875,0.8821875,-7.4671875,16.2890625,8.821875,7.4671875
41,0.87203125,0.87203125,-7.39375,16.1140625,8.7203125,7.39375
42,0.8990625,0.8990625,-7.496875,16.4875,8.990625,7.496875
43,0.88578125,0.88578125,-7.5796875,16.4375,8.8578125,7.5796875
44,0.87,0.87,-7.315625,16.015625,8.7,7.315625
45,0.8507812499999999,0.8507812499999999,-7.390625,15.8984375,8.5078125,7.390625
46,0.875,0.875,-7.503125,16.253125,8.75,7.503125
47,0.88765625,0.88765625,-7.3890625,16.265625,8.8765625,7.3890625
48,0.88734375,0.88734375,-7.3109375,16.184375,8.8734375,7.3109375
49,0.92140625,0.92140625,-7.4328125,16.646875,9.2140625,7.4328125
